iter	Passed	Remaining
1074	8998	74707
1075	9006	74697
1076	9014	74687
1077	9023	74681
1078	9031	74672
1079	9039	74660
1080	9047	74650
1081	9055	74638
1082	9063	74628
1083	9072	74621
1084	9080	74610
1085	9088	74600
1086	9096	74592
1087	9104	74580
1088	9113	74570
1089	9121	74558
1090	9129	74547
1091	9137	74538
1092	9145	74527
1093	9153	74516
1094	9161	74503
1095	9169	74493
1096	9177	74483
1097	9185	74473
1098	9193	74462
1099	9201	74451
1100	9209	74439
1101	9217	74427
1102	9225	74416
1103	9233	74406
1104	9241	74395
1105	9250	74385
1106	9258	74376
1107	9266	74366
1108	9274	74354
1109	9282	74342
1110	9290	74332
1111	9298	74322
1112	9306	74312
1113	9314	74301
1114	9322	74289
1115	9331	74284
1116	9340	74284
1117	9351	74290
1118	9361	74297
1119	9370	74294
1120	9378	74285
1121	9387	74276
1122	9394	74264
1123	9402	74251
1124	9411	74242
1125	9419	74231
1126	9427	74222
1127	9435	74211
1128	9443	74201
1129	9452	74195
1130	9460	74186
1131	9468	74179
1132	9477	74168
1133	9484	74156
1134	9493	74145
1135	9501	74134
1136	9509	74124
1137	9517	74116
1138	9525	74104
1139	9533	74093
1140	9541	74084
1141	9550	74076
1142	9558	74064
1143	9566	74060
1144	9575	74049
1145	9583	74039
1146	9591	74031
1147	9599	74018
1148	9607	74008
1149	9615	73998
1150	9623	73989
1151	9631	73978
1152	9640	73969
1153	9648	73958
1154	9656	73948
1155	9664	73942
1156	9673	73932
1157	9681	73920
1158	9689	73911
1159	9697	73899
1160	9705	73889
1161	9713	73880
1162	9721	73868
1163	9729	73859
1164	9738	73851
1165	9746	73841
1166	9754	73831
1167	9763	73827
1168	9772	73825
1169	9782	73825
1170	9792	73829
1171	9801	73831
1172	9810	73821
1173	9818	73812
1174	9826	73806
1175	9835	73796
1176	9843	73787
1177	9851	73776
1178	9859	73764
1179	9867	73754
1180	9875	73744
1181	9883	73735
1182	9891	73724
1183	9900	73715
1184	9911	73728
1185	9921	73730
1186	9930	73726
1187	9938	73716
1188	9946	73706
1189	9954	73696
1190	9962	73684
1191	9970	73673
1192	9978	73663
1193	9986	73653
1194	9994	73642
1195	10002	73632
1196	10012	73634
1197	10020	73624
1198	10028	73614
1199	10036	73603
1200	10045	73595
1201	10053	73587
1202	10061	73576
1203	10069	73564
1204	10077	73554
1205	10085	73544
1206	10093	73533
1207	10101	73523
1208	10110	73515
1209	10118	73504
1210	10126	73494
1211	10134	73485
1212	10142	73473
1213	10150	73463
1214	10159	73456
1215	10167	73446
1216	10175	73436
1217	10184	73429
1218	10192	73419
1219	10200	73408
1220	10208	73400
1221	10216	73389
1222	10224	73379
1223	10233	73371
1224	10241	73359
1225	10249	73349
1226	10257	73341
1227	10265	73333
1228	10274	73323
1229	10282	73313
1230	10290	73303
1231	10298	73292
1232	10306	73281
1233	10314	73271
1234	10322	73258
1235	10330	73249
1236	10338	73240
1237	10347	73231
1238	10355	73221
1239	10362	73209
1240	10370	73197
1241	10378	73187
1242	10387	73177
1243	10394	73166
1244	10403	73157
1245	10411	73145
1246	10419	73134
1247	10427	73122
1248	10435	73112
1249	10443	73107
1250	10453	73109
1251	10463	73113
1252	10474	73120
1253	10484	73121
1254	10493	73116
1255	10502	73118
1256	10511	73114
1257	10520	73109
1258	10530	73108
1259	10539	73107
1260	10548	73102
1261	10556	73091
1262	10564	73082
1263	10572	73071
1264	10581	73068
1265	10589	73057
1266	10598	73050
1267	10606	73041
1268	10614	73029
1269	10622	73019
1270	10630	73009
1271	10638	72999
1272	10647	72992
1273	10655	72981
1274	10663	72972
1275	10672	72970
1276	10681	72966
1277	10692	72971
1278	10701	72971
1279	10711	72969
1280	10721	72974
1281	10732	72982
1282	10743	72995
1283	10754	73004
1284	10765	73015
1285	10775	73016
1286	10785	73015
1287	10793	73006
1288	10802	73002
1289	10810	72993
1290	10818	72983
1291	10826	72972
1292	10835	72965
1293	10843	72955
1294	10851	72944
1295	10859	72934
1296	10867	72924
1297	10875	72914
1298	10884	72903
1299	10892	72895
1300	10900	72885
1301	10908	72875
1302	10916	72866
1303	10925	72857
1304	10933	72847
1305	10941	72836
1306	10949	72826
1307	10957	72816
1308	10965	72805
1309	10974	72798
1310	10982	72789
1311	10990	72780
1312	10999	72774
1313	11007	72764
1314	11015	72753
1315	11023	72744
1316	11031	72732
1317	11040	72724
1318	11048	72715
1319	11056	72706
1320	11065	72698
1321	11073	72692
1322	11081	72681
1323	11090	72674
1324	11098	72663
1325	11106	72653
1326	11115	72645
1327	11123	72636
1328	11131	72627
1329	11139	72617
1330	11148	72609
1331	11155	72597
1332	11163	72586
1333	11172	72576
1334	11180	72568
1335	11188	72557
1336	11196	72549
1337	11205	72539
1338	11213	72531
1339	11221	72520
1340	11229	72510
1341	11237	72501
1342	11245	72489
1343	11253	72479
1344	11261	72468
1345	11269	72458
1346	11277	72448
1347	11286	72440
1348	11294	72430
1349	11302	72419
1350	11310	72411
1351	11319	72404
1352	11327	72394
1353	11335	72384
1354	11343	72374
1355	11352	72365
1356	11360	72355
1357	11368	72345
1358	11376	72337
1359	11384	72326
1360	11392	72316
1361	11400	72305
1362	11408	72294
1363	11417	72285
1364	11425	72275
1365	11433	72265
1366	11441	72258
1367	11450	72249
1368	11458	72239
1369	11466	72232
1370	11475	72225
1371	11483	72212
1372	11491	72202
1373	11499	72191
1374	11507	72181
1375	11515	72172
1376	11523	72161
1377	11531	72150
1378	11539	72140
1379	11547	72128
1380	11555	72121
1381	11563	72111
1382	11571	72100
1383	11579	72089
1384	11588	72081
1385	11596	72073
1386	11605	72065
1387	11613	72054
1388	11620	72043
1389	11628	72031
1390	11637	72023
1391	11644	72011
1392	11652	72000
1393	11660	71988
1394	11668	71979
1395	11677	71970
1396	11685	71961
1397	11693	71951
1398	11701	71939
1399	11709	71929
1400	11717	71920
1401	11725	71909
1402	11733	71899
1403	11741	71888
1404	11749	71878
1405	11758	71869
1406	11765	71857
1407	11773	71846
1408	11781	71836
1409	11790	71828
1410	11798	71817
1411	11806	71808
1412	11814	71796
1413	11822	71788
1414	11830	71777
1415	11838	71768
1416	11846	71758
1417	11855	71749
1418	11862	71736
1419	11870	71725
1420	11878	71714
1421	11886	71703
1422	11894	71693
1423	11902	71684
1424	11910	71674
1425	11918	71663
1426	11927	71654
1427	11935	71646
1428	11943	71635
1429	11951	71624
1430	11959	71616
1431	11967	71606
1432	11975	71594
1433	11984	71588
1434	11992	71580
1435	12000	71568
1436	12008	71559
1437	12016	71550
1438	12024	71539
1439	12033	71535
1440	12043	71534
1441	12051	71526
1442	12059	71515
1443	12067	71504
1444	12076	71495
1445	12084	71484
1446	12092	71474
1447	12100	71464
1448	12107	71452
1449	12115	71442
1450	12124	71432
1451	12132	71423
1452	12140	71412
1453	12148	71403
1454	12157	71398
1455	12165	71387
1456	12173	71379
1457	12181	71369
1458	12189	71358
1459	12197	71349
1460	12206	71340
1461	12214	71330
1462	12222	71320
1463	12230	71310
1464	12238	71299
1465	12246	71291
1466	12255	71283
1467	12263	71272
1468	12270	71261
1469	12278	71250
1470	12287	71241
1471	12295	71231
1472	12303	71223
1473	12311	71213
1474	12319	71203
1475	12327	71193
1476	12335	71184
1477	12344	71174
1478	12352	71164
1479	12359	71153
1480	12367	71142
1481	12376	71133
1482	12384	71124
1483	12392	71114
